"county_name" "state" "confirmed_cases" "deaths" "total_pop" "white_pop" "black_pop" "asian_pop" "amerindian_pop" "hispanic_pop" "median_income" "households_public_asst_or_food_stamps" "children_in_single_female_hh" "employed_pop" "unemployed_pop" "pop_determined_poverty_status" "not_us_citizen_pop" "two_parent_families_with_young_children" "poverty" "income_under_40" "income_over_40_under_100" "income_over_100" "income_200000_or_more" "commuters_in_groups" "local_commuters" "out_of_town_commuters" "cases_per_1000" "deaths_per_1000" "death_per_case" "k12_students" "children" "some_college_and_associates_degree" "associates_degree" "bachelors_degree" "masters_degree"
"54" "Suffolk County" "MA" 66066 1490 780685 355132 157381 67210 1531 173707 61242 59428 54468 423215 32554 736921 122420 26786 144661 111458 95161 68622 28435 234956 299522 94841 84.6256812927109 1.9085802852623 0.0225532043713862 84825 133047 98301 25553 130501 67684
"55" "Fairfield County" "CT" 67617 1853 947328 595323 98931 48421 1372 180379 89773 32906 43035 474458 39109 929135 112267 46588 81422 80441 103378 87197 66662 87314 326389 101728 71.3765453992704 1.95602790163491 0.0274043509768254 159448 219635 134711 39156 165926 97357
"56" "Norfolk County" "MA" 35740 1400 694389 532276 43719 71819 610 28900 95668 20154 21882 367385 21224 676707 47963 37463 44279 55365 80934 81583 44442 103966 224137 111571 51.4697093415938 2.01616097029187 0.0391717963066592 105254 149306 103430 35935 138379 78298
"57" "Providence County" "RI" 67526 1476 633704 394363 50835 25863 2412 137017 52530 50860 45449 307175 25295 608324 57814 23620 101489 94701 88048 44827 10889 37986 243886 37823 106.557635741608 2.32916314241349 0.0218582471936735 89078 132385 110698 32969 72891 32274
"58" "New Haven County" "CT" 58627 1706 862127 553000 105661 33678 783 148446 64872 52580 53976 425229 35377 835945 51091 32865 100732 103458 120092 78938 24914 52888 336416 54324 68.0027420554048 1.97882678538081 0.0290992204956761 128706 179259 146901 43845 111795 64560
"59" "Washington" "DC" 34259 861 672391 241901 315159 25063 1140 71829 77649 42177 52807 357701 31279 638362 55262 25884 111025 83610 81799 69893 42683 218210 262213 67928 50.951009159849 1.2805049442958 0.0251320820806212 69038 118058 76804 14601 113830 96398
"60" "Kalawao County" "HI" 0 0 86 18 0 25 0 4 61750 8 0 63 0 79 0 0 10 13 27 13 0 6 34 2 0 0 NA 0 2 31 16 11 5
"61" "Bristol Bay Borough" "AK" 0 0 917 461 4 13 315 41 79500 41 48 508 37 892 14 24 63 78 143 118 19 83 362 1 0 0 NA 146 209 243 47 99 33
"62" "Yukon-Koyukuk Census Area" "AK" 254 4 5453 1164 5 40 3841 117 37819 716 503 2082 510 5390 33 207 1373 1024 672 237 26 148 1216 49 46.5798642948836 0.733541169998166 0.015748031496063 1006 1522 1056 158 255 166
"63" "Skagway Municipality" "AK" 15 0 1038 816 2 42 55 71 70673 22 23 701 60 1033 32 33 58 64 235 112 12 50 356 4 14.4508670520231 0 0 89 136 305 65 203 55
"64" "Hoonah-Angoon Census Area" "AK" 50 1 2146 935 59 58 800 117 57900 141 121 1039 138 2145 83 54 238 257 350 178 17 120 567 19 23.2991612301957 0.465983224603914 0.02 210 350 514 100 248 88
"65" "Northwest Arctic Borough" "AK" 510 0 7715 856 42 68 6297 196 61533 691 824 2654 669 7632 57 319 1934 630 661 456 102 277 1617 10 66.1049902786779 0 0 1730 2694 963 197 292 119
"66" "Haines Borough" "AK" 15 0 2537 2003 1 100 190 71 70640 108 127 1437 40 2494 100 155 210 355 384 243 105 149 856 9 5.91249507292077 0 0 321 500 625 111 403 151
"67" "City and Borough of Juneau" "AK" 975 3 32434 21214 330 2176 3500 2067 90749 1196 1291 17970 906 31816 1278 1676 2339 1994 4764 4437 1078 3479 15705 434 30.0610470493926 0.0924955293827465 0.00307692307692308 4864 7095 7872 1598 5832 2245
"68" "Aleutians West Census Area" "AK" 110 0 5784 1435 291 2182 665 780 85192 69 180 3961 77 5559 1289 186 419 193 532 374 119 367 3295 36 19.0179806362379 0 0 702 983 1369 273 517 127
"69" "Nome Census Area" "AK" 293 0 9869 1466 75 137 7207 234 53821 984 811 3639 724 9546 126 407 2381 1120 1137 521 119 394 2180 23 29.6889249164049 0 0 2155 3402 1492 194 534 158
"70" "Aleutians East Borough" "AK" 29 0 3338 516 160 871 1249 324 66607 136 143 2405 59 3328 835 47 555 252 327 190 43 140 1529 3 8.68783702816057 0 0 345 446 835 184 196 78
"71" "Wrangell City and Borough" "AK" 18 0 2475 1595 4 77 510 78 56094 170 150 1095 83 2458 82 56 287 391 445 228 20 116 609 14 7.27272727272727 0 0 329 481 611 151 239 105
"72" "Denali Borough" "AK" 58 0 2303 1905 4 109 50 17 83295 41 15 1529 29 2261 199 76 351 135 271 248 24 142 1222 92 25.1845419018671 0 0 275 325 409 73 483 193
"73" "Fairbanks North Star Borough" "AK" 5504 24 100031 71100 4006 2999 6286 7714 76250 3481 4568 46725 4047 95695 2316 6518 7340 8108 15542 10494 2252 8281 46527 2236 55.0229428877048 0.239925623056852 0.00436046511627907 14847 24153 24613 5994 12885 5367
"74" "Sitka City and Borough" "AK" 270 0 8810 5498 85 590 1158 555 70765 404 521 4702 247 8656 327 283 800 898 1577 898 172 642 3330 126 30.6469920544835 0 0 1500 1977 2104 621 1210 527
"75" "Matanuska-Susitna Borough" "AK" 7117 18 101135 80824 1033 1311 5041 4666 74887 3842 3791 42695 4646 99141 1567 6249 9759 8067 11867 8914 1765 5261 24048 13357 70.3712859049785 0.177979927819252 0.0025291555430659 19195 27559 25430 6085 8812 3372
"76" "Yakutat City and Borough" "AK" 0 0 682 298 6 37 193 38 64583 38 31 377 26 682 11 37 42 78 119 53 5 54 227 2 0 0 NA 96 149 152 15 81 8
"77" "Kusilvak Census Area" "AK" 1017 3 8129 307 35 41 7282 132 36468 1124 1026 2125 858 8086 87 366 3163 952 626 163 11 75 1217 18 125.107639316029 0.369049083528109 0.00294985250737463 2080 3229 826 86 119 71
"78" "Prince of Wales-Hyder Census Area" "AK" 67 1 6473 2931 10 74 2579 238 52114 519 311 2780 433 6417 62 212 1027 933 873 463 46 430 1279 292 10.3506874710335 0.154487872701993 0.0149253731343284 1042 1537 1578 260 478 209
"79" "Southeast Fairbanks Census Area" "AK" 382 3 6889 5162 99 132 794 356 63866 281 376 2941 420 6794 331 414 942 746 817 510 66 489 2225 61 55.4507185367978 0.435476847147627 0.00785340314136126 1289 1862 1738 387 449 370
"80" "Petersburg Census Area" "AK" 38 0 3275 2199 19 220 216 346 63490 171 162 1644 82 3266 128 161 256 385 508 310 52 360 973 52 11.6030534351145 0 0 489 738 722 167 429 138
"81" "Bethel Census Area" "AK" 3014 12 17957 1826 120 165 14729 393 53853 1967 1434 6075 1456 17410 218 1058 4705 1730 1737 948 109 823 3842 49 167.845408475803 0.668263072896364 0.0039814200398142 4312 6403 2196 403 748 342
"82" "Ketchikan Gateway Borough" "AK" 242 1 13745 8854 75 1066 1860 655 67321 965 693 6899 521 13530 459 605 1437 1489 2196 1256 329 1335 5662 103 17.6064023281193 0.0727537286285922 0.00413223140495868 2035 3068 3562 725 1534 523
"83" "Valdez-Cordova Census Area" "AK" 346 2 9439 6628 13 267 1253 453 86019 199 213 4755 384 9320 101 537 694 660 1032 908 249 500 3000 124 36.6564254687997 0.211886852420807 0.00578034682080925 1494 2228 2251 558 1475 524
"84" "Dillingham Census Area" "AK" 130 1 4974 808 22 75 3579 155 58708 443 435 1989 256 4928 37 282 817 491 559 306 49 383 1323 16 26.1359067149176 0.201045436268597 0.00769230769230769 943 1544 874 138 285 120
"85" "Kodiak Island Borough" "AK" 955 2 13773 6901 23 3044 1744 1219 74167 533 846 7010 396 13505 1365 815 1262 1183 1664 1451 240 1047 5682 125 69.3385609525884 0.145211645974007 0.00209424083769634 2240 3617 3183 737 1374 678
"86" "North Slope Borough" "AK" 927 3 9757 3052 53 542 4971 401 77266 353 904 5412 565 9580 211 338 976 516 743 593 189 1021 3691 20 95.0087116941683 0.307471558880804 0.00323624595469256 1594 2495 2145 443 707 262
"87" "Kenai Peninsula Borough" "AK" 3615 15 57961 46943 300 863 4127 2293 65279 2518 2138 25564 2397 56676 643 3254 6229 6823 8328 5589 1039 2823 18931 1591 62.3695243353289 0.258794706785597 0.004149377593361 8919 13318 14884 3653 6139 2849
"88" "Municipality of Anchorage" "AK" 24191 127 298225 176518 15649 27383 20345 26415 82271 11524 15198 152751 9394 290452 12191 18487 23510 20926 42201 33018 9867 21200 138288 8468 81.1166065889848 0.425852963366586 0.00524988632135918 46610 73861 67389 16763 42216 16859
"89" "Lake and Peninsula Borough" "AK" 98 0 1301 283 9 28 868 20 45208 119 107 581 88 1291 25 28 213 172 168 57 11 46 305 14 75.32667179093 0 0 257 365 210 24 66 33
"90" "Bibb County" "AL" 2170 47 22580 16849 4959 0 82 531 43404 933 1217 8171 728 20555 190 999 3133 3089 2712 1027 88 819 5461 2250 96.1027457927369 2.0814880425155 0.0216589861751152 3364 4728 3971 831 1289 617
"91" "Lamar County" "AL" 1184 19 14021 12061 1520 0 45 212 36016 1136 641 5376 459 13838 65 483 3191 3258 2084 600 77 762 3960 986 84.4447614292846 1.35511019185507 0.0160472972972973 2300 3088 2851 737 880 365
"92" "Henry County" "AL" 1550 21 17110 11757 4762 0 5 435 45569 1129 761 6949 496 16806 169 639 2310 2997 2659 923 148 513 5393 876 90.5902980713033 1.22735242548217 0.0135483870967742 2486 3581 3596 925 1087 835
"93" "Marengo County" "AL" 2008 29 19743 8909 10689 0 11 88 32255 1971 1909 6645 975 19502 78 572 5000 4543 2433 894 105 371 4691 1067 101.706934103226 1.46887504431951 0.0144422310756972 3332 4534 3814 1084 1315 611
"94" "Lowndes County" "AL" 1115 35 10362 2515 7708 0 9 71 29785 1440 1580 3533 446 10239 11 193 3095 2560 1364 322 63 395 2519 716 107.604709515538 3.37772630766261 0.031390134529148 1673 2378 1847 536 671 246
"95" "Coosa County" "AL" 605 15 10955 7150 3640 0 8 16 34792 602 591 3897 498 10535 61 303 1513 2331 1509 297 67 389 2667 828 55.2259242355089 1.36923779096303 0.0247933884297521 1417 1905 2215 489 611 255
"96" "Greene County" "AL" 762 23 8533 1459 6851 0 54 101 20954 1247 1401 2411 419 8480 1 57 3293 2009 839 156 21 308 1562 666 89.3003632954412 2.69541778975741 0.0301837270341207 1492 1999 1646 397 486 125
"97" "Conecuh County" "AL" 951 20 12649 6362 5855 4 21 231 30434 881 1124 3945 669 12550 63 397 3316 2927 1481 282 26 277 3067 680 75.1838089967586 1.58115266028935 0.0210304942166141 1853 2774 1954 480 458 267
"98" "Clay County" "AL" 1270 45 13407 10753 1972 6 115 417 37287 812 794 5509 379 13049 218 357 2493 2726 1992 523 97 326 3646 1293 94.7266353397479 3.35645558290445 0.0354330708661417 2003 2857 2772 845 562 317
"99" "Choctaw County" "AL" 515 24 13188 7420 5553 8 4 71 32122 1409 995 4301 468 12992 28 422 2903 3209 1641 516 97 580 2827 1178 39.050652107977 1.81983621474067 0.0466019417475728 1967 2706 2702 857 745 276
"100" "Pickens County" "AL" 1969 31 20170 10914 8162 13 22 826 36220 1370 1647 6903 958 18972 471 515 4340 4177 2514 789 140 779 4205 1896 97.6202280614774 1.53693604362915 0.015744032503809 2915 4186 4308 1067 1248 355
"101" "Lawrence County" "AL" 2452 47 33288 25492 3801 18 1730 701 43779 2297 1473 12476 972 32979 131 1490 5490 6015 5157 1779 105 1159 9441 2290 73.6601778418649 1.41192021148762 0.0191680261011419 5136 7242 6308 1822 1671 605
"102" "Perry County" "AL" 982 18 9680 2843 6735 23 7 67 22973 1107 1565 2478 332 8844 37 185 3706 2233 583 210 13 214 1748 524 101.446280991736 1.8595041322314 0.0183299389002037 1575 2151 1238 233 512 401
"103" "Hale County" "AL" 1774 42 14995 5925 8795 26 25 196 34679 1445 1823 5252 697 14750 21 428 3852 3192 1861 479 132 302 3540 1357 118.306102034011 2.80093364454818 0.0236753100338219 2416 3490 2429 639 1008 286
"104" "Randolph County" "AL" 1415 35 22530 16955 4381 36 48 665 39485 1382 1358 8565 530 21983 245 702 4102 4472 3532 715 148 777 6020 1717 62.8051486906347 1.55348424323125 0.0247349823321555 3372 4943 4264 1311 1415 725
